strategy,machine_type,elec_cost,day,n_machines,BTC,USD,price,global_hash_rate,global_mining_rev_btc,machine_hash_rate,machine_wattage,user_hash_rate,revenue_btc,expense_usd,total_position_usd
Long BTC,Antminer S17,0.04,39,227.0,2.8362496198090907,0.0,77222.93583640392,170313598.76,1044.0515377232011,56.0,2.5200000000000014,12712.0,0.07794818394510364,549.1584000000001,226153.65662935193
Long BTC,Antminer S17,0.04,40,227.0,2.9030897915394225,0.0,73966.36215951965,170599405.0,1044.050897976165,56.0,2.5200000000000014,12712.0,0.07781673711589089,549.1584000000001,221388.1575073213
Long BTC,Antminer S17,0.04,41,227.0,2.9694274670497647,0.0,77700.10696193116,170887812.76,1044.0507727906295,56.0,2.5200000000000014,12712.0,0.07768708939969989,549.1584000000001,238542.28371372342
Long BTC,Antminer S17,0.04,42,227.0,3.0353078634155075,0.0,77442.66722107318,171144260.76,1044.0482974212623,56.0,2.5200000000000014,12712.0,0.07757188778995983,549.1584000000001,243567.0082645998
Long BTC,Antminer S17,0.04,43,227.0,3.1014506713820724,0.0,79862.60718166102,174756323.08,1044.0485625717888,56.0,2.5200000000000014,12712.0,0.07596749386480546,549.1584000000001,256627.19796106947
Long BTC,Antminer S17,0.04,44,227.0,3.165183389009073,0.0,73908.78328623893,175609309.92,1044.0530973256357,56.0,2.5200000000000014,12712.0,0.07560081781475383,549.1584000000001,242415.63338038436
Long BTC,Antminer S17,0.04,45,227.0,3.22802915609482,0.0,71287.09534467036,176154627.44,1044.0591253025414,56.0,2.5200000000000014,12712.0,0.07536733101600376,549.1584000000001,238822.43947252573
Long BTC,Antminer S17,0.04,46,227.0,3.290542689099793,0.0,69103.6631004895,176781298.84,1044.0532731402886,56.0,2.5200000000000014,12712.0,0.07510118853708182,549.1584000000001,235666.8833506448
Long BTC,Antminer S17,0.04,47,227.0,3.3520371696961133,0.0,66305.7267122698,177273247.44,1044.0459316631452,56.0,2.5200000000000014,12712.0,0.07489378357545068,549.1584000000001,230686.92553576492
Long BTC,Antminer S17,0.04,48,227.0,3.4128390337469705,0.0,68046.12786218109,177736222.52,1044.0527992651057,56.0,2.5200000000000014,12712.0,0.07469795444030797,549.1584000000001,241575.79813028232
Long BTC,Antminer S17,0.04,49,227.0,3.4729684240079433,0.0,66608.37622648472,180871368.04,1044.0496763700025,56.0,2.5200000000000014,12712.0,0.07340400237832136,549.1584000000001,241029.2851384357
Long BTC,Antminer S17,0.04,50,227.0,3.531702697430597,0.0,62965.57194783744,181315432.36,1044.0568522895214,56.0,2.5200000000000014,12712.0,0.07322427702671547,549.1584000000001,231324.15167721175
Long BTC,Antminer S17,0.04,51,227.0,3.5897857555422923,0.0,63401.003975259235,181767497.84,1044.0497280754632,56.0,2.5200000000000014,12712.0,0.07304316743256793,549.1584000000001,237407.79154127062
