strategy,machine_type,elec_cost,day,n_machines,BTC,USD,price,global_hash_rate,global_mining_rev_btc,machine_hash_rate,machine_wattage,user_hash_rate,revenue_btc,expense_usd,total_position_usd
Long BTC,Antminer S17,0.04,43,227.0,3.0517250418548185,0.0,47474.73484352036,175454483.84,1044.0506036857687,56.0,2.5200000000000014,12712.0,0.07565226977424587,549.1584000000001,148079.65522093297
Long BTC,Antminer S17,0.04,44,227.0,3.1117014874415365,0.0,46627.44458826218,176367545.48,1044.0506418612752,56.0,2.5200000000000014,12712.0,0.075262493070483,549.1584000000001,148516.28338981356
Long BTC,Antminer S17,0.04,45,227.0,3.1709054053485746,0.0,46076.74062020697,176984318.28,1044.0490311682945,56.0,2.5200000000000014,12712.0,0.07500398903806942,549.1584000000001,149711.79814064055
Long BTC,Antminer S17,0.04,46,227.0,3.2298365684770443,0.0,46991.3511262665,177415053.56,1044.050582196689,56.0,2.5200000000000014,12712.0,0.07482297333313422,549.1584000000001,155921.2234623521
Long BTC,Antminer S17,0.04,47,227.0,3.2884637686926017,0.0,46370.02362335274,177807070.24,1044.0475349177234,56.0,2.5200000000000014,12712.0,0.07465965001326037,549.1584000000001,156865.76874628218
Long BTC,Antminer S17,0.04,48,227.0,3.346775707398061,0.0,45649.017120055476,178163680.52,1044.0545987139312,56.0,2.5200000000000014,12712.0,0.07450931148712868,549.1584000000001,157271.47634070003
Long BTC,Antminer S17,0.04,49,227.0,3.4050424688016974,0.0,45992.62641037177,181522536.44,1044.0513291711716,56.0,2.5200000000000014,12712.0,0.0731294198893272,549.1584000000001,161541.84794393054
Long BTC,Antminer S17,0.04,50,227.0,3.461460351158217,0.0,44540.885725514134,181752389.28,1044.0492321500972,56.0,2.5200000000000014,12712.0,0.07303613457350931,549.1584000000001,159076.8432909325
Long BTC,Antminer S17,0.04,51,227.0,3.517439823304518,0.0,44891.15520896845,182067608.88,1044.0496302823253,56.0,2.5200000000000014,12712.0,0.07290634675530101,549.1584000000001,163058.3001220247
Long BTC,Antminer S17,0.04,52,227.0,3.57329830371238,0.0,44222.39936727758,182378450.32,1044.0549427845422,56.0,2.5200000000000014,12712.0,0.07278354850934772,549.1584000000001,163077.42642632424
Long BTC,Antminer S17,0.04,53,227.0,3.6288233042391083,0.0,44688.79618877749,182298950.64,1044.053712180751,56.0,2.5200000000000014,12712.0,0.07281973232971438,549.1584000000001,167854.40068111982
Long BTC,Antminer S17,0.04,54,227.0,3.684554420637823,0.0,43146.70837286044,182357828.6,1044.0544742223385,56.0,2.5200000000000014,12712.0,0.07279768566910906,549.1584000000001,164275.2735486035
Long BTC,Antminer S17,0.04,55,227.0,3.7403880596507846,0.0,43730.93313212263,182528931.12,1044.050529962462,56.0,2.5200000000000014,12712.0,0.0727338949475495,549.1584000000001,169275.32512395707
Long BTC,Antminer S17,0.04,56,227.0,3.7959138449471856,0.0,41880.3138501476,182847926.92,1044.0527472713502,56.0,2.5200000000000014,12712.0,0.07260688027627353,549.1584000000001,164256.7636191225
Long BTC,Antminer S17,0.04,57,227.0,3.85113178565327,0.0,42339.682689257344,185100938.24,1044.0583719288031,56.0,2.5200000000000014,12712.0,0.07172072616064956,549.1584000000001,168812.27053464588
Long BTC,Antminer S17,0.04,58,227.0,3.9052371232476912,0.0,42565.33062574324,186190863.76,1044.0503141616111,56.0,2.5200000000000014,12712.0,0.07130540421273063,549.1584000000001,172301.38989898548
Long BTC,Antminer S17,0.04,59,227.0,3.9587684749044674,0.0,40631.1245949862,186329323.36,1044.0526184847986,56.0,2.5200000000000014,12712.0,0.0712619523772165,549.1584000000001,166188.0582089121
Long BTC,Antminer S17,0.04,60,227.0,4.011648260925511,0.0,40171.43282047537,186502203.2,1044.0528439068555,56.0,2.5200000000000014,12712.0,0.07119247576016294,549.1584000000001,166371.42329698513
Long BTC,Antminer S17,0.04,61,227.0,4.064387205356459,0.0,39652.8521473981,186359271.52,1044.0520748289389,56.0,2.5200000000000014,12712.0,0.07126425699849986,549.1584000000001,165996.4491642679
Long BTC,Antminer S17,0.04,62,227.0,4.11684849154704,0.0,40168.81879884592,186129725.04,1044.0510338487834,56.0,2.5200000000000014,12712.0,0.07139253958740328,549.1584000000001,170556.26568595177
Long BTC,Antminer S17,0.04,63,227.0,4.168625642641925,0.0,39327.20589587524,186026945.56,1044.0476807022046,56.0,2.5200000000000014,12712.0,0.07145681668321409,549.1584000000001,169530.1146002075
Long BTC,Antminer S17,0.04,64,227.0,4.220122915058092,0.0,38305.07647631556,187008291.8,1044.054177879288,56.0,2.5200000000000014,12712.0,0.07113175322002316,549.1584000000001,167048.41188191366
Long BTC,Antminer S17,0.04,65,227.0,4.271719907449964,0.0,39243.07421436889,187703336.08,1044.0518146852187,56.0,2.5200000000000014,12712.0,0.07085388015383652,549.1584000000001,173389.3554123788
Long BTC,Antminer S17,0.04,66,227.0,4.322834272645686,0.0,39332.667790899424,188155478.92,1044.050810101285,56.0,2.5200000000000014,12712.0,0.07070714058193396,549.1584000000001,175851.22180750172
Long BTC,Antminer S17,0.04,67,227.0,4.373190173323129,0.0,38023.31275874287,188232116.4,1044.0549121773392,56.0,2.5200000000000014,12712.0,0.0706935828751744,549.1584000000001,172213.28618900836
